"","code","license","publisher","datasetName","year","month","day","scientificName","family","FID","date","depth","mlotst","to","so","zo","prouct_type","bathy","slope","FID.1","lon","lat"
"2225",13598,"CC_BY_NC_4_0","Institute of Marine Research",NA,1998,6,21,"Physeter macrocephalus","Physeteridae",0,"1998-06-01",0,12.5,19.813,36.172,0.169,"Reanalysis",1736.15441894531,0.218337416648865,0,-852.278707762954,4520.52876010272
"2226",13609,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,6,6,"Physeter macrocephalus","Physeteridae",0,"2002-06-01",0,20,18.857,36.177,0.2,"Reanalysis",1596.91186523438,1.22029864788055,0,-513.177199729277,4289.39695724777
"2227",13643,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,6,11,"Physeter macrocephalus","Physeteridae",0,"2002-06-01",0,17,19.341,36.169,0.239,"Reanalysis",1405.45056152344,1.00603890419006,0,-666.772092587178,4392.43593630102
"2228",13648,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,29,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,25.0999999999999,18.234,36.156,0.236,"Reanalysis",1760.53247070312,0.880441725254059,0,-721.899243965259,4394.04151410161
"2229",13651,"CC_BY_NC_4_0","Institute of Marine Research",NA,2012,6,29,"Physeter macrocephalus","Physeteridae",0,"2012-06-01",0,22.1999999999998,18.018,36.112,0.209,"Reanalysis",2095.193359375,0.117467813193798,0,-738.077096872112,4416.06386983007
"2230",13652,"CC_BY_NC_4_0","Institute of Marine Research",NA,1998,6,18,"Physeter macrocephalus","Physeteridae",0,"1998-06-01",0,12.2999999999997,19.809,36.175,0.178,"Reanalysis",1622.03894042969,1.44935655593872,0,-877.923729621,4502.10431922496
"2231",13665,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,6,9,"Physeter macrocephalus","Physeteridae",0,"2002-06-01",0,16.8999999999996,19.356,36.174,0.224,"Reanalysis",946.346801757812,0.514623284339905,0,-666.237125879955,4366.1170314678
"2232",13666,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,6,9,"Physeter macrocephalus","Physeteridae",0,"2002-06-01",0,16.8999999999996,19.356,36.174,0.224,"Reanalysis",946.346801757812,0.514623284339905,0,-663.612377998722,4365.72732532968
"2233",13672,"CC_BY_NC_4_0","Institute of Marine Research",NA,1998,6,21,"Physeter macrocephalus","Physeteridae",0,"1998-06-01",0,14.0999999999999,20.588,36.176,0.236,"Reanalysis",1510.18627929688,0.635015785694122,0,-609.468716745781,4431.86159865267
"2234",13683,"CC_BY_NC_4_0","Institute of Marine Research",NA,2002,8,30,"Physeter macrocephalus","Physeteridae",0,"2002-08-01",0,17.5999999999999,24,36.275,0.315,"Reanalysis",1066.98840332031,0.702988386154175,0,-743.911065348751,4299.08139869793
